Timestamp,Packet Count,Average Count,Queue Size
2024-09-23T02:38:23+05:30,5,0,4
2024-09-23T02:38:24+05:30,10,0,9
2024-09-23T02:38:25+05:30,15,0,4
2024-09-23T02:38:26+05:30,14,0,0
Timestamp,Packet Count,Average Count,Queue Size
2024-09-23T02:38:51+05:30,14,0,0
2024-09-23T02:38:52+05:30,19,0,0
2024-09-23T02:38:53+05:30,16,0,0
2024-09-23T02:38:54+05:30,8,0,3
2024-09-23T02:38:55+05:30,18,0,0
2024-09-23T02:38:56+05:30,7,0,0
2024-09-23T02:38:57+05:30,11,0,8
2024-09-23T02:38:58+05:30,21,0,0
2024-09-23T02:38:59+05:30,16,0,0
2024-09-23T02:39:00+05:30,12,0,0
2024-09-23T02:39:01+05:30,24,0,0
2024-09-23T02:39:02+05:30,6,0,1
2024-09-23T02:39:03+05:30,19,0,0
2024-09-23T02:39:04+05:30,6,0,3
2024-09-23T02:39:05+05:30,17,0,0
2024-09-23T02:39:06+05:30,5,0,4
2024-09-23T02:39:07+05:30,10,0,12
2024-09-23T02:39:08+05:30,20,0,2
2024-09-23T02:39:09+05:30,12,0,8
2024-09-23T02:39:10+05:30,10,0,11
2024-09-23T02:39:11+05:30,20,0,1
2024-09-23T02:39:12+05:30,5,0,4
2024-09-23T02:39:13+05:30,15,0,0
2024-09-23T02:39:14+05:30,7,0,0
2024-09-23T02:39:15+05:30,10,0,2
2024-09-23T02:39:16+05:30,16,0,0
2024-09-23T02:39:17+05:30,10,0,9
2024-09-23T02:39:18+05:30,2,0,0
2024-09-23T02:39:19+05:30,3,0,0
2024-09-23T02:39:20+05:30,11,0,0
2024-09-23T02:39:21+05:30,23,0,0
2024-09-23T02:39:22+05:30,5,0,4
2024-09-23T02:39:23+05:30,16,0,0
2024-09-23T02:39:24+05:30,9,0,0
2024-09-23T02:39:25+05:30,19,0,0
2024-09-23T02:39:26+05:30,6,0,3
2024-09-23T02:39:27+05:30,11,0,0
2024-09-23T02:39:28+05:30,5,0,4
2024-09-23T02:39:29+05:30,22,0,0
2024-09-23T02:39:30+05:30,16,0,0
2024-09-23T02:39:31+05:30,1,0,0
2024-09-23T02:39:32+05:30,8,0,0
2024-09-23T02:39:33+05:30,15,0,0
Timestamp,Packet Count,Average Count,Queue Size
2024-10-08T17:50:41+05:30,8,0,0
2024-10-08T17:50:42+05:30,20,0,0
2024-10-08T17:50:43+05:30,5,0,4
2024-10-08T17:50:44+05:30,1,0,0
2024-10-08T17:50:45+05:30,5,0,4
2024-10-08T17:50:46+05:30,23,0,0
2024-10-08T17:50:47+05:30,7,0,0
2024-10-08T17:50:48+05:30,17,0,0
2024-10-08T17:50:49+05:30,19,0,0
2024-10-08T17:50:50+05:30,29,0,0
2024-10-08T17:50:51+05:30,6,0,0
2024-10-08T17:50:52+05:30,17,0,0
2024-10-08T17:50:53+05:30,7,0,0
2024-10-08T17:50:54+05:30,7,0,2
