Time,Queue Length
2024-09-23T03:05:52+05:30,0
2024-09-23T03:05:53+05:30,5
2024-09-23T03:05:54+05:30,22
2024-09-23T03:05:55+05:30,29
2024-09-23T03:05:56+05:30,39
2024-09-23T03:05:57+05:30,48
2024-09-23T03:05:58+05:30,60
2024-09-23T03:05:59+05:30,74
2024-09-23T03:06:00+05:30,94
2024-09-23T03:06:01+05:30,100
2024-09-23T03:06:02+05:30,115
2024-09-23T03:06:03+05:30,122
2024-09-23T03:06:04+05:30,137
2024-09-23T03:06:05+05:30,143
2024-09-23T03:06:06+05:30,155
2024-09-23T03:06:07+05:30,169
2024-09-23T03:06:08+05:30,181
2024-09-23T03:06:09+05:30,188
2024-09-23T03:06:10+05:30,209
2024-09-23T03:06:11+05:30,216
2024-09-23T03:06:12+05:30,231
2024-09-23T03:06:13+05:30,241
2024-09-23T03:06:14+05:30,255
2024-09-23T03:06:15+05:30,260
2024-09-23T03:06:16+05:30,273
2024-09-23T03:06:17+05:30,286
2024-09-23T03:06:18+05:30,298
2024-09-23T03:06:19+05:30,303
2024-09-23T03:06:20+05:30,324
2024-09-23T03:06:21+05:30,336
2024-09-23T03:06:22+05:30,351
2024-09-23T03:06:23+05:30,365
2024-09-23T03:06:24+05:30,377
2024-09-23T03:06:25+05:30,382
2024-09-23T03:06:26+05:30,392
2024-09-23T03:06:27+05:30,401
